# Promyvion same-zone transition topology for zones 16 (Holla), 18 (Dem), 20 (Mea), 22 (Vahzl).
# Generated by tools/generate_promyvion_navigation.py from the local LandSandBoat checkout;
# regenerate rather than hand-edit. One row per island, forward receptacle/stream pair,
# return trigger and exit. forward availability is stream-open-evidence: a Memory Stream is
# OPEN only while live entity evidence says so (LSB opens the chosen stream for 180 seconds
# after its receptacle dies, then re-randomizes the choice; the choice itself is server-side
# and deliberately NOT recorded here). entity_server_id is the stream NPC to watch;
# paired_server_id is the receptacle whose death opens it. Landings marked unwalked are
# inferred from destination anchors and must not be spoken as verified.
record_id	zone	island_id	kind	group_id	name	anchor_x	anchor_z	anchor_y	radius	entity_server_id	paired_server_id	destination_island	landing_x	landing_z	landing_y	availability	window_seconds	source	confidence	note
16:forward:11	16	floor-3-west	forward	4	Floor 3 (West): Portal NE	-280.000	280.000	0.538	3	16843054	16842888	floor-4	120.000	-320.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0g1/warp_01; receptacle at (-280.000, 280.000, -1.000); event 30; landing inferred from destination anchor, unwalked
16:forward:12	16	floor-3-west	forward	4	Floor 3 (West): Portal NW	-360.000	240.000	0.523	3	16843055	16842897	floor-4	120.000	-320.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0g2/warp_02; receptacle at (-360.000, 240.000, -1.000); event 31; landing inferred from destination anchor, unwalked
16:forward:13	16	floor-3-west	forward	4	Floor 3 (West): Portal SW	-360.000	120.000	0.542	3	16843056	16842906	floor-4	120.000	-320.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0g3/warp_03; receptacle at (-360.000, 120.000, -1.000); event 32; landing inferred from destination anchor, unwalked
16:forward:14	16	floor-3-east	forward	5	Floor 3 (East): Portal NW	40.000	320.000	0.519	3	16843062	16842940	floor-4	120.000	-320.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0g9/warp_09; receptacle at (40.000, 320.000, -1.000); event 38; landing inferred from destination anchor, unwalked
16:forward:15	16	floor-3-east	forward	5	Floor 3 (East): Portal NE	160.000	360.000	0.502	3	16843063	16842949	floor-4	120.000	-320.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0ga/warp_10; receptacle at (160.000, 360.000, -1.000); event 39; landing inferred from destination anchor, unwalked
16:forward:16	16	floor-3-east	forward	5	Floor 3 (East): Portal SE	280.000	200.000	0.564	3	16843064	16842958	floor-4	120.000	-320.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0gb/warp_11; receptacle at (280.000, 200.000, -1.000); event 40; landing inferred from destination anchor, unwalked
16:return:02	16	floor-2	return		floor 2: Return to floor 1	-120.000	0.000	0.534	3			floor-1	92.033	80.380	0.000	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 41; landing inferred from destination anchor, unwalked
16:return:03	16	floor-3-west	return		floor 3 west: Return to floor 2	-160.000	120.000	0.534	3			floor-2	-120.000	0.000	0.534	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 42; landing inferred from destination anchor, unwalked
16:return:04	16	floor-3-east	return		floor 3 east: Return to floor 2	160.000	240.000	0.528	3			floor-2	-120.000	0.000	0.534	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 45; landing inferred from destination anchor, unwalked
16:return:05:floor-3-east	16	floor-4	return		floor 4: Return to floor 3 east	120.000	-320.000	0.000	3			floor-3-east	160.000	240.000	0.528	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	destination follows charvar [Holla]ReturnWest; both rows emitted; event 43; landing inferred from destination anchor, unwalked
16:return:05:floor-3-west	16	floor-4	return		floor 4: Return to floor 3 west	120.000	-320.000	0.000	3			floor-3-west	-160.000	120.000	0.534	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	destination follows charvar [Holla]ReturnWest; both rows emitted; event 43; landing inferred from destination anchor, unwalked
16:exit:01	16	floor-1	exit		Exit to Hall of Transference	80.000	80.000	0.000	3			zone:14	-225.682	280.002	-6.459	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 46; landing is Zone.lua's own setPos
18:island:floor-1	18	floor-1	island		Promyvion - Dem floor 1	185.891	-52.331	0.000									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the zone-in point
18:island:floor-2	18	floor-2	island		Promyvion - Dem floor 2	-280.000	0.000	-0.499									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
18:island:floor-3-north	18	floor-3-north	island		Promyvion - Dem floor 3 north	-160.000	440.000	-0.499									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
18:island:floor-3-south	18	floor-3-south	island		Promyvion - Dem floor 3 south	0.000	-320.000	-0.499									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
18:island:floor-4	18	floor-4	island		Promyvion - Dem floor 4	360.000	240.000	0.000									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	inferred	anchor is the return trigger; no streams on this island, height inferred
18:forward:06	18	floor-1	forward	1	Floor 1: Portal	120.000	-280.000	-0.500	3	16851278	16850972	floor-2	-280.000	0.000	-0.499	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0i1/warp_01; receptacle at (120.000, -280.000, -1.000); event 30; landing inferred from destination anchor, unwalked
18:forward:07	18	floor-2	forward	3	Floor 2: Portal SE - Destination: North	-80.000	-80.000	-0.499	3	16851282	16851026	floor-3-north	-160.000	440.000	-0.499	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0i5/warp_05; receptacle at (-80.000, -80.000, -1.000); event 36; landing inferred from destination anchor, unwalked
18:forward:08	18	floor-2	forward	2	Floor 2: Portal NE - Destination: South	-80.000	80.000	-0.499	3	16851283	16851033	floor-3-south	0.000	-320.000	-0.499	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0i6/warp_06; receptacle at (-80.000, 80.000, -1.000); event 37; landing inferred from destination anchor, unwalked
18:forward:09	18	floor-2	forward	2	Floor 2: Portal SW - Destination: South	-280.000	-200.000	-0.499	3	16851284	16851040	floor-3-south	0.000	-320.000	-0.499	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0i7/warp_07; receptacle at (-280.000, -200.000, -1.000); event 34; landing inferred from destination anchor, unwalked
18:forward:10	18	floor-2	forward	3	Floor 2: Portal NW - Destination: North	-360.000	40.000	-0.499	3	16851285	16851047	floor-3-north	-160.000	440.000	-0.499	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0i8/warp_08; receptacle at (-360.000, 40.000, -1.000); event 35; landing inferred from destination anchor, unwalked
18:forward:11	18	floor-3-south	forward	4	Floor 3 (South): Portal NE	40.000	-200.000	-0.499	3	16851279	16851073	floor-4	360.000	240.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0i2/warp_02; receptacle at (40.000, -200.000, -1.000); event 31; landing inferred from destination anchor, unwalked
18:forward:12	18	floor-3-south	forward	4	Floor 3 (South): Portal NW	-120.000	-240.000	-0.499	3	16851280	16851082	floor-4	360.000	240.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0i3/warp_03; receptacle at (-120.000, -240.000, -1.000); event 32; landing inferred from destination anchor, unwalked
18:forward:13	18	floor-3-south	forward	4	Floor 3 (South): Portal SW	-120.000	-400.000	-0.499	3	16851281	16851091	floor-4	360.000	240.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0i4/warp_04; receptacle at (-120.000, -400.000, -1.000); event 33; landing inferred from destination anchor, unwalked
18:forward:14	18	floor-3-north	forward	5	Floor 3 (North): Portal SW	-320.000	160.000	-0.499	3	16851286	16851152	floor-4	360.000	240.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0i9/warp_09; receptacle at (-320.000, 160.000, -1.000); event 38; landing inferred from destination anchor, unwalked
18:forward:15	18	floor-3-north	forward	5	Floor 3 (North): Portal NE	-40.000	320.000	-0.499	3	16851287	16851161	floor-4	360.000	240.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0ia/warp_10; receptacle at (-40.000, 320.000, -1.000); event 39; landing inferred from destination anchor, unwalked
18:forward:16	18	floor-3-north	forward	5	Floor 3 (North): Portal SE	-120.000	160.000	-0.499	3	16851288	16851170	floor-4	360.000	240.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0ib/warp_11; receptacle at (-120.000, 160.000, -1.000); event 40; landing inferred from destination anchor, unwalked
18:return:02	18	floor-2	return		floor 2: Return to floor 1	-280.000	0.000	-0.499	3			floor-1	185.891	-52.331	0.000	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 41; landing inferred from destination anchor, unwalked
18:return:03	18	floor-3-north	return		floor 3 north: Return to floor 2	-160.000	440.000	-0.499	3			floor-2	-280.000	0.000	-0.499	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 43; landing inferred from destination anchor, unwalked
18:return:04	18	floor-3-south	return		floor 3 south: Return to floor 2	0.000	-320.000	-0.499	3			floor-2	-280.000	0.000	-0.499	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 42; landing inferred from destination anchor, unwalked
18:return:05:floor-3-north	18	floor-4	return		floor 4: Return to floor 3 north	360.000	240.000	0.000	3			floor-3-north	-160.000	440.000	-0.499	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	destination follows charvar [Dem]ReturnNorth; both rows emitted; event 44; landing inferred from destination anchor, unwalked
18:return:05:floor-3-south	18	floor-4	return		floor 4: Return to floor 3 south	360.000	240.000	0.000	3			floor-3-south	0.000	-320.000	-0.499	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	destination follows charvar [Dem]ReturnNorth; both rows emitted; event 44; landing inferred from destination anchor, unwalked
18:exit:01	18	floor-1	exit		Exit to Hall of Transference	160.000	-80.000	0.000	3			zone:14	-226.193	-280.046	-46.459	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Dem/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 46; landing is Zone.lua's own setPos
20:island:floor-1	20	floor-1	island		Promyvion - Mea floor 1	-93.268	170.749	0.000									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the zone-in point
20:island:floor-2	20	floor-2	island		Promyvion - Mea floor 2	0.000	-120.000	-0.400									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
20:island:floor-3-east	20	floor-3-east	island		Promyvion - Mea floor 3 east	160.000	-280.000	-0.399									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
20:island:floor-3-west	20	floor-3-west	island		Promyvion - Mea floor 3 west	-160.000	160.000	-0.400									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
20:island:floor-4	20	floor-4	island		Promyvion - Mea floor 4	-80.000	360.000	0.000									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	inferred	anchor is the return trigger; no streams on this island, height inferred
20:forward:06	20	floor-1	forward	1	Floor 1: Portal	-280.000	240.000	-0.400	3	16859483	16859155	floor-2	0.000	-120.000	-0.400	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0k1/warp_01; receptacle at (-280.000, 240.000, -1.000); event 30; landing inferred from destination anchor, unwalked
20:forward:07	20	floor-2	forward	3	Floor 2: Portal N - Destination: East	-80.000	-40.000	-0.400	3	16859486	16859205	floor-3-east	160.000	-280.000	-0.399	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0k4/warp_04; receptacle at (-80.000, -40.000, -1.000); event 33; landing inferred from destination anchor, unwalked
20:forward:08	20	floor-2	forward	2	Floor 2: Portal SW - Destination: West	-320.000	-360.000	-0.400	3	16859490	16859212	floor-3-west	-160.000	160.000	-0.400	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0k8/warp_08; receptacle at (-320.000, -360.000, -1.000); event 37; landing inferred from destination anchor, unwalked
20:forward:09	20	floor-2	forward	2	Floor 2: Portal S - Destination: West	-40.000	-320.000	-0.400	3	16859491	16859219	floor-3-west	-160.000	160.000	-0.400	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0k9/warp_09; receptacle at (-40.000, -320.000, -1.000); event 38; landing inferred from destination anchor, unwalked
20:forward:10	20	floor-2	forward	3	Floor 2: Portal SE - Destination: East	80.000	-240.000	-0.400	3	16859492	16859226	floor-3-east	160.000	-280.000	-0.399	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0ka/warp_10; receptacle at (80.000, -240.000, -1.000); event 39; landing inferred from destination anchor, unwalked
20:forward:11	20	floor-3-west	forward	4	Floor 3 (West): Portal SW	-320.000	-40.000	-0.400	3	16859484	16859296	floor-4	-80.000	360.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0k2/warp_02; receptacle at (-320.000, -40.000, -1.000); event 31; landing inferred from destination anchor, unwalked
20:forward:12	20	floor-3-west	forward	4	Floor 3 (West): Portal S	-240.000	-40.000	-0.400	3	16859485	16859305	floor-4	-80.000	360.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0k3/warp_03; receptacle at (-240.000, -40.000, -1.000); event 32; landing inferred from destination anchor, unwalked
20:forward:13	20	floor-3-west	forward	4	Floor 3 (West): Portal SE	-40.000	0.000	-0.399	3	16859487	16859314	floor-4	-80.000	360.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0k5/warp_05; receptacle at (-40.000, 0.000, -1.000); event 34; landing inferred from destination anchor, unwalked
20:forward:14	20	floor-3-east	forward	5	Floor 3 (East): Portal NW	200.000	0.000	-0.399	3	16859488	16859376	floor-4	-80.000	360.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0k6/warp_06; receptacle at (200.000, 0.000, -1.000); event 35; landing inferred from destination anchor, unwalked
20:forward:15	20	floor-3-east	forward	5	Floor 3 (East): Portal NE	360.000	-40.000	-0.399	3	16859489	16859385	floor-4	-80.000	360.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0k7/warp_07; receptacle at (360.000, -40.000, -1.000); event 36; landing inferred from destination anchor, unwalked
20:forward:16	20	floor-3-east	forward	5	Floor 3 (East): Portal SW	240.000	-320.000	-0.400	3	16859493	16859394	floor-4	-80.000	360.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0kb/warp_11; receptacle at (240.000, -320.000, -1.000); event 40; landing inferred from destination anchor, unwalked
20:return:02	20	floor-2	return		floor 2: Return to floor 1	0.000	-120.000	-0.400	3			floor-1	-93.268	170.749	0.000	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 41; landing inferred from destination anchor, unwalked
20:return:03	20	floor-3-west	return		floor 3 west: Return to floor 2	-160.000	160.000	-0.400	3			floor-2	0.000	-120.000	-0.400	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 42; landing inferred from destination anchor, unwalked
20:return:04	20	floor-3-east	return		floor 3 east: Return to floor 2	160.000	-280.000	-0.399	3			floor-2	0.000	-120.000	-0.400	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 43; landing inferred from destination anchor, unwalked
20:return:05:floor-3-east	20	floor-4	return		floor 4: Return to floor 3 east	-80.000	360.000	0.000	3			floor-3-east	160.000	-280.000	-0.399	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	destination follows charvar [Mea]ReturnEast; both rows emitted; event 44; landing inferred from destination anchor, unwalked
20:return:05:floor-3-west	20	floor-4	return		floor 4: Return to floor 3 west	-80.000	360.000	0.000	3			floor-3-west	-160.000	160.000	-0.400	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	destination follows charvar [Mea]ReturnEast; both rows emitted; event 44; landing inferred from destination anchor, unwalked
20:exit:01	20	floor-1	exit		Exit to Hall of Transference	-120.000	200.000	0.000	3			zone:14	279.988	-25.994	-86.459	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Mea/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 46; landing is Zone.lua's own setPos
22:island:floor-1	22	floor-1	island		Promyvion - Vahzl floor 1	-14.744	-119.736	0.036									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the zone-in point
22:island:floor-2	22	floor-2	island		Promyvion - Vahzl floor 2	-40.000	200.000	-0.450									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
22:island:floor-3	22	floor-3	island		Promyvion - Vahzl floor 3	320.000	-280.000	-0.450									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
22:island:floor-4	22	floor-4	island		Promyvion - Vahzl floor 4	280.000	40.000	-0.449									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
22:island:floor-5	22	floor-5	island		Promyvion - Vahzl floor 5	-40.000	0.000	0.000									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	inferred	anchor is the return trigger; no streams on this island, height inferred
